Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:07:17.504],3.74,22.42,3.04,54.71,157
[00:07:18.699],3.72,22.32,3.23,72.14,158
[00:07:19.728],3.73,22.38,2.67,59.70,159
[00:07:19.927],3.73,22.38,3.39,59.70,159
[00:07:20.536],3.72,22.34,2.84,63.35,159
[00:07:21.542],3.72,22.31,3.64,80.91,160
[00:07:22.617],3.71,22.28,3.41,75.88,161
[00:07:23.709],3.72,22.29,3.18,70.93,162
[00:07:24.574],3.71,22.24,3.75,83.43,163
[00:07:24.775],3.72,22.34,2.68,59.85,163
[00:07:25.378],3.72,22.35,3.48,77.35,164
[00:07:25.579],3.71,22.26,2.76,77.35,164
[00:07:26.185],3.69,22.15,4.55,100.64,164
[00:07:26.593],3.70,22.20,4.02,89.25,165
[00:07:27.525],3.70,22.22,3.64,80.83,166
[00:07:27.601],3.71,22.28,3.10,69.16,166
[00:07:28.002],3.72,22.33,2.45,54.76,166
[00:07:29.418],3.74,22.41,1.89,42.28,167
[00:07:30.429],3.72,22.32,2.78,62.10,168
[00:07:31.033],3.73,22.40,2.05,45.90,168
[00:07:31.234],3.72,22.32,2.82,62.89,168
[00:07:32.386],3.71,22.28,3.07,68.46,169
[00:07:32.645],3.73,22.37,2.22,49.55,169
[00:07:33.048],3.73,22.40,2.85,63.59,170
[00:07:33.657],3.73,22.37,2.30,51.46,170
[00:07:34.059],3.72,22.30,2.93,65.37,170
[00:07:35.298],3.72,22.30,2.94,65.56,171
[00:07:36.481],3.71,22.29,2.95,65.78,172
[00:07:36.685],3.70,22.19,3.96,87.82,173
[00:07:36.886],3.71,22.25,3.32,73.89,173
[00:07:37.088],3.72,22.31,2.66,59.33,173
[00:07:37.289],3.70,22.22,3.62,80.36,173
[00:07:38.198],3.70,22.17,3.99,88.40,174
[00:07:38.705],3.68,22.11,4.51,99.78,175
[00:07:38.906],3.71,22.26,3.09,68.86,175
[00:07:39.107],3.69,22.13,4.30,95.15,175
[00:07:39.951],3.69,22.15,4.09,90.60,176
[00:07:40.869],3.69,22.17,3.87,85.70,177
[00:07:41.889],3.70,22.20,3.52,78.24,178
[00:07:42.909],3.70,22.18,3.69,81.77,179
[00:07:43.345],3.67,22.03,5.16,113.61,180
